text,label
"Govt আজ একটি new education policy ঘোষণা করেছে, schools September থেকে reopen হবে।",real
"Dhaka metro rail এর new station টি কাল থেকে public এর জন্য open হচ্ছে বলে authorities জানিয়েছে।",real
"Bangladesh Bank নতুন interest rate ঘোষণা করেছে, যা next month থেকে effective হবে।",real
"আজকের budget session এ finance minister নতুন tax slab present করেছেন parliament এ।",real
"University admission test এর result আজ রাতে official website এ publish করা হবে।",real
"Cyclone এর কারণে coastal districts গুলোতে red alert জারি করেছে weather department।",real
"আজ Dhaka তে heavy rain হয়েছে, traffic একদম standstill হয়ে গেছে সারা শহরে।",real
"New COVID booster dose campaign আগামী week থেকে সব district hospital এ শুরু হবে।",real
"Padma bridge দিয়ে এখন প্রতিদিন thousands of vehicles cross করছে, toll collection record করেছে।",real
"BCB announce করেছে next series টা home ground এ হবে, ticket booking online এ available।",real
"আজকের stock market এ DSEX index slightly up করেছে বলে brokers রা জানাচ্ছেন।",real
"City corporation নতুন waste management project launch করেছে আমাদের area তে।",real
"Local NGO টা flood-affected families দের জন্য relief distribute করছে আজ সকাল থেকে।",real
"School গুলোতে নতুন curriculum আগামী year থেকে implement হবে বলে ministry confirm করেছে।",real
"Airport এ নতুন immigration counter খোলায় queue অনেক short হয়ে গেছে passengers দের জন্য।",real
"BREAKING: চাঁদে নাকি secret city আবিষ্কার হয়েছে, NASA নাকি hide করছে সব evidence!!!",fake
"এই photo টা viral হয়েছে যেখানে দেখা যাচ্ছে এক লোক নাকি 200 years বেঁচে আছে, totally fake নাকি real?",fake
"Forward করুন: কাল নাকি sun পুরো 3 days এর জন্য disappear হয়ে যাবে, scientists রা confirm করেছে!",fake
"এই herbal medicine নাকি cancer পুরোপুরি cure করে দেয় 7 days এ, doctors রা hide করছে এই truth!",fake
"শুনলাম government নাকি সব citizen কে free তে 50000 taka দিচ্ছে, just এই link এ register করলেই হবে।",fake
"Viral post: এক village এ নাকি rain হয়েছে fish এর, পুরো sky থেকে মাছ পড়ছিল নাকি!",fake
"এই app নাকি তোমার future predict করতে পারে 100% accuracy তে, scientists রা shocked!",fake
"WhatsApp এ আসছে: কাল থেকে নাকি সব mobile number change হয়ে যাবে, এখনই forward না করলে block!",fake
